MONTHYEAR,PLAN_NAME,Customer,REGION,PRODUCT,NET REVENUE,Gross Revenue,Discount percentage ,
2022-03-01,Medium Business,Cust30367,APJ,PD1,71,71,,
2021-03-01,Medium Business,Cust30368,MEA,PD6,680.85,896,,
2021-04-01,LARGE BUSINESS,Cust30369,NA,PD6,608.4,608,,
2021-02-01,Medium Business,Cust30371,EU,PD1,55.35,63,,
2021-09-01,Medium Business,Cust30373,NA,PD4,235,309,,
2021-01-01,LARGE BUSINESS,Cust30374,NA,PD1,276,389,,
2022-03-01,SMALL BUSINESS,Cust30375,EU,PD1,36,36,,
2022-02-01,Medium Business,Cust30376,APJ,PD1,245,245,,
2021-10-01,SMALL BUSINESS,Cust30378,EU,PD7,18,21,,
2021-06-01,Medium Business,Cust30379,UK,PD1,138.72,139,,
2021-02-01,Medium Business,Cust30380,NA,PD6,256.5,313,,
2021-05-01,Medium Business,Cust7543,EU,PD1,55.35,70,,
2022-03-01,SMALL BUSINESS,Cust30382,NA,PD6,118,149,,
2021-01-01,SMALL BUSINESS,Cust30383,EU,PD1,30,42,,
2022-03-01,SMALL BUSINESS,Cust30386,NA,PD1,15,15,,
2021-02-01,SMALL BUSINESS,Cust17536,UK,PD1,19,21,,
2022-03-01,SMALL BUSINESS,Cust30391,APJ,PD1,165,359,,
2021-01-01,SMALL BUSINESS,Cust2664,EU,PD1,46.74,52,,
2022-02-01,SMALL BUSINESS,Cust30392,NA,PD1,60,83,,
2022-02-01,SMALL BUSINESS,Cust30393,UK,PD1,209.04,536,,
2021-10-01,SMALL BUSINESS,Cust30394,INDIA,PD1,15,19,,
2022-02-01,Medium Business,Cust30395,NA,PD1,118,144,,
2021-09-01,SMALL BUSINESS,Cust30396,NA,PD1,72,103,,
2021-05-01,LARGE BUSINESS,Cust30398,NA,PD1,138,282,,
2021-04-01,Medium Business,Cust30401,NA,PD1,90,90,,
2021-12-01,SMALL BUSINESS,Cust30402,NA,PD1,35,35,,
2022-02-01,LARGE BUSINESS,Cust30403,APJ,PD1,95,110,,
2021-04-01,SMALL BUSINESS,Cust30404,NA,PD4,29,29,,
2021-03-01,LARGE BUSINESS,Cust979,MEA,PD5,823.5,947,,
2022-02-01,SMALL BUSINESS,Cust30406,MEA,PD1,49.3,60,,
2022-01-01,Medium Business,Cust30407,EU,PD1,142,142,,
2021-06-01,SMALL BUSINESS,Cust15614,MEA,PD6,118,155,,
2022-01-01,Medium Business,Cust30408,NA,PD1,283.2,283,,
2021-10-01,SMALL BUSINESS,Cust30409,NA,PD1,36,43,,
2021-05-01,Medium Business,Cust30410,EU,PD6,264.45,264,,
2021-08-01,SMALL BUSINESS,Cust30411,EU,PD1,36,50,,
2022-01-01,SMALL BUSINESS,Cust30412,OTHERS,PD2,70.3179,82,,
2021-10-01,SMALL BUSINESS,Cust30413,NA,PD1,72,94,,
2021-02-01,LARGE BUSINESS,Cust25139,NA,PD1,49,70,,
2021-05-01,Medium Business,Cust30416,NA,PD6,293,293,,
2021-07-01,LARGE BUSINESS,Cust17644,NA,PD5,78,186,,
2021-03-01,LARGE BUSINESS,Cust2772,NA,PD6,1181.5,1182,,
2021-09-01,Medium Business,Cust30419,EU,PD5,188,216,,
2021-10-01,SMALL BUSINESS,Cust30420,APJ,PD6,54.6,156,,
2022-03-01,SMALL BUSINESS,Cust30422,EU,PD1,17.1,21,,
2021-09-01,SMALL BUSINESS,Cust30423,OTHERS,PD2,80.811,100,,
2022-01-01,Medium Business,Cust22148,EU,PD5,47,56,,
2021-04-01,SMALL BUSINESS,Cust30425,APJ,PD1,18.72,24,,
2022-03-01,SMALL BUSINESS,Cust30426,NA,PD1,15,18,,
2022-03-01,SMALL BUSINESS,Cust30428,UK,PD6,180.9,229,,
2021-05-01,SMALL BUSINESS,Cust30429,NA,PD4,23.2,23,,
2022-01-01,SMALL BUSINESS,Cust30430,OTHERS,PD2,74.007945,96,,
2021-04-01,Medium Business,Cust30431,OTHERS,PD2,90,100,,
2021-09-01,SMALL BUSINESS,Cust30432,EU,PD1,92.25,120,,
2021-07-01,SMALL BUSINESS,Cust30433,NA,PD1,152,169,,
2021-09-01,SMALL BUSINESS,Cust30434,APJ,PD1,39,50,,
2021-10-01,SMALL BUSINESS,Cust30435,NA,PD4,41,47,,
2021-09-01,SMALL BUSINESS,Cust30440,UK,PD1,105,127,,
2021-10-01,Medium Business,Cust30441,EU,PD1,174.66,216,,
2021-11-01,SMALL BUSINESS,Cust30442,EU,PD1,44.28,57,,
2021-03-01,SMALL BUSINESS,Cust28487,NA,PD1,81,107,,
2021-08-01,SMALL BUSINESS,Cust30447,NA,PD1,180,209,,
2021-01-01,Medium Business,Cust30448,UK,PD1,184.96,528,,
2021-01-01,SMALL BUSINESS,Cust30450,EU,PD1,70.11,100,,
2021-10-01,SMALL BUSINESS,Cust30452,NA,PD1,126,166,,
2021-07-01,Medium Business,Cust30454,INDIA,PD1,154,321,,
2021-08-01,SMALL BUSINESS,Cust30456,NA,PD6,413,413,,
2021-12-01,SMALL BUSINESS,Cust30458,UK,PD1,16.32,20,,
2021-02-01,SMALL BUSINESS,Cust30459,EU,PD7,57,70,,
2022-03-01,SMALL BUSINESS,Cust30460,EU,PD1,41.04,52,,
2021-09-01,SMALL BUSINESS,Cust30461,EU,PD1,30,38,,
2022-02-01,SMALL BUSINESS,Cust30462,UK,PD4,80.4,80,,
2021-08-01,SMALL BUSINESS,Cust30463,EU,PD1,18.45,18,,
2021-01-01,SMALL BUSINESS,Cust30465,NA,PD4,29,29,,
2021-08-01,Medium Business,Cust30466,INDIA,PD5,47,54,,
2021-12-01,Medium Business,Cust2759,INDIA,PD5,29,38,,
2021-06-01,SMALL BUSINESS,Cust30467,MEA,PD1,19,22,,
2022-03-01,SMALL BUSINESS,Cust30469,EU,PD1,20.52,24,,
2021-06-01,SMALL BUSINESS,Cust17601,INDIA,PD3,4.7741832,10,,
2021-06-01,SMALL BUSINESS,Cust30470,NA,PD1,57,68,,
2022-01-01,SMALL BUSINESS,Cust30471,INDIA,PD1,105,130,,
2021-06-01,LARGE BUSINESS,#N/A,OTHERS,PD2,400,400,,
2021-07-01,SMALL BUSINESS,Cust30472,NA,PD1,133,133,,
2021-05-01,LARGE BUSINESS,Cust30473,EU,PD1,650.916,868,,
2021-06-01,LARGE BUSINESS,Cust12799,NA,PD7,177,197,,
2022-02-01,Medium Business,Cust30475,NA,PD1,59,79,,
2021-03-01,SMALL BUSINESS,Cust30476,APJ,PD1,136.8,163,,
2022-01-01,LARGE BUSINESS,Cust30477,NA,PD1,476,535,,
2022-02-01,SMALL BUSINESS,Cust14207,NA,PD1,29,59,,
2021-01-01,Medium Business,Cust7613,NA,PD4,445,506,,
2021-09-01,SMALL BUSINESS,Cust30480,NA,PD1,72,72,,
2021-12-01,Medium Business,Cust21349,NA,PD4,47,55,,
2022-01-01,SMALL BUSINESS,Cust30481,OTHERS,PD2,92.46,92,,
2021-02-01,LARGE BUSINESS,Cust30485,NA,PD1,375,938,,
2022-03-01,Medium Business,Cust30486,EU,PD6,1880.9202,3919,,
2021-05-01,Medium Business,Cust14374,NA,PD4,44.85,53,,
2022-03-01,SMALL BUSINESS,Cust30489,EU,PD1,68.4,79,,
2021-11-01,SMALL BUSINESS,Cust30491,NA,PD4,18,26,,
2021-04-01,SMALL BUSINESS,Cust30493,NA,PD6,1344.5,1345,,
2021-11-01,SMALL BUSINESS,Cust30495,NA,PD1,576,789,,
2021-02-01,Medium Business,Cust30497,OTHERS,PD7,39,48,,
2021-09-01,SMALL BUSINESS,Cust30498,NA,PD1,60,120,,
2021-09-01,Medium Business,Cust7709,INDIA,PD5,139.49496,184,,
2022-03-01,Medium Business,Cust30500,EU,PD1,403.56,453,,
2021-11-01,Medium Business,Cust4511,EU,PD1,261.252,311,,
2021-10-01,SMALL BUSINESS,Cust30502,NA,PD1,30,30,,
2021-09-01,SMALL BUSINESS,Cust30503,EU,PD7,36,36,,
2021-08-01,SMALL BUSINESS,Cust30504,UK,PD7,97.92,119,,
2021-07-01,Medium Business,Cust24806,NA,PD4,638.02,760,,
2021-07-01,LARGE BUSINESS,Cust30505,OTHERS,PD1,375,487,,
2022-01-01,SMALL BUSINESS,Cust30506,INDIA,PD4,30.9342,40,,
2022-01-01,Medium Business,Cust30507,EU,PD1,223.44,306,,
2021-02-01,Medium Business,Cust30509,EU,PD4,318.1395,383,,
2021-05-01,SMALL BUSINESS,Cust30510,NA,PD6,177,506,,
2021-05-01,LARGE BUSINESS,Cust30512,NA,PD5,78,78,,
2022-02-01,SMALL BUSINESS,Cust30513,NA,PD1,36,36,,
2021-03-01,LARGE BUSINESS,Cust30515,MEA,PD5,69,92,,
2021-12-01,LARGE BUSINESS,Cust12932,APJ,PD4,83,180,,
2021-12-01,LARGE BUSINESS,Cust30516,EU,PD4,183,215,,
2021-06-01,SMALL BUSINESS,Cust30517,APJ,PD1,74.88,91,,
2021-12-01,SMALL BUSINESS,Cust1232,EU,PD1,44.28,98,,
2021-03-01,Medium Business,Cust26495,UK,PD4,740.52,741,,
2022-02-01,SMALL BUSINESS,Cust7741,APJ,PD1,15.4671,19,,
2022-01-01,Medium Business,Cust30518,EU,PD1,142,142,,
2021-09-01,Medium Business,Cust30519,EU,PD6,1176.1875,1657,,
2021-04-01,Medium Business,Cust2849,APJ,PD6,436,532,,
2021-12-01,LARGE BUSINESS,Cust30522,APJ,PD1,1530.36,1987,,
2022-01-01,Medium Business,Cust18870,UK,PD3,70,81,,
2022-02-01,SMALL BUSINESS,Cust30524,APJ,PD4,90,108,,
2021-03-01,SMALL BUSINESS,Cust30525,EU,PD1,18.45,18,,
2021-02-01,SMALL BUSINESS,Cust30526,NA,PD6,38,38,,
2021-03-01,LARGE BUSINESS,Cust17781,NA,PD1,690,986,,
2022-02-01,SMALL BUSINESS,Cust30529,EU,PD6,343,476,,
2022-02-01,LARGE BUSINESS,Cust30532,NA,PD1,119,119,,
2021-06-01,SMALL BUSINESS,Cust30533,INDIA,PD1,27.33264,33,,
2021-08-01,Medium Business,Cust30537,NA,PD1,117.6,147,,
2021-06-01,SMALL BUSINESS,Cust9314,NA,PD5,38,47,,
2021-05-01,Medium Business,Cust30540,NA,PD1,35,46,,
2021-04-01,Medium Business,Cust30541,EU,PD1,55.35,55,,
2021-04-01,LARGE BUSINESS,Cust17798,MEA,PD1,98,126,,
2021-01-01,LARGE BUSINESS,Cust30542,INDIA,PD5,176.44464,229,,
2021-08-01,SMALL BUSINESS,Cust30543,MEA,PD1,180,240,,
2021-07-01,SMALL BUSINESS,Cust17802,EU,PD1,19,19,,
2022-03-01,Medium Business,Cust30544,NA,PD3,70,82,,
2021-07-01,SMALL BUSINESS,Cust14105,NA,PD1,15,18,,
2021-10-01,SMALL BUSINESS,Cust30545,NA,PD1,18,18,,
2022-01-01,Medium Business,Cust30547,NA,PD1,49,102,,
2021-09-01,SMALL BUSINESS,Cust30549,INDIA,PD5,16.40232,20,,
2021-08-01,Medium Business,Cust30550,EU,PD1,220.5,286,,
2021-04-01,Medium Business,Cust30551,EU,PD1,387.45,503,,
2021-06-01,SMALL BUSINESS,Cust30552,NA,PD1,57,72,,
2021-10-01,SMALL BUSINESS,Cust30553,NA,PD1,30,37,,
2021-08-01,LARGE BUSINESS,Cust3458,INDIA,PD1,166.88232,167,,
2021-06-01,SMALL BUSINESS,Cust30555,NA,PD8,11,13,,
2021-09-01,Medium Business,Cust18724,NA,PD5,47,66,,
2021-12-01,Medium Business,Cust30559,EU,PD1,290.28,363,,
2021-10-01,Medium Business,Cust23288,MEA,PD1,392,496,,
2021-07-01,SMALL BUSINESS,Cust30561,MEA,PD1,80,100,,
2021-12-01,Medium Business,Cust30562,APJ,PD6,351,494,,
2021-06-01,Medium Business,Cust1370,APJ,PD1,45,63,,
2021-03-01,Medium Business,Cust30564,MEA,PD6,436,589,,
2021-03-01,SMALL BUSINESS,Cust30565,NA,PD5,60,70,,
2022-02-01,SMALL BUSINESS,Cust30567,NA,PD1,75,179,,
2022-01-01,Medium Business,Cust30569,INDIA,PD1,168.03,195,,
2022-01-01,Medium Business,Cust30570,APJ,PD4,195,244,,
2021-02-01,SMALL BUSINESS,Cust8575,UK,PD7,33.456,45,,
2021-10-01,SMALL BUSINESS,Cust22305,EU,PD1,95,123,,
2021-05-01,LARGE BUSINESS,Cust30571,NA,PD1,250,281,,
2022-03-01,Medium Business,Cust30572,INDIA,PD4,386.81037,523,,
2021-06-01,SMALL BUSINESS,Cust30574,UK,PD1,61.2,74,,
2021-10-01,SMALL BUSINESS,Cust30577,NA,PD1,18,18,,
2021-08-01,SMALL BUSINESS,Cust30578,NA,PD1,30,30,,
2022-02-01,Medium Business,Cust30583,OTHERS,PD2,200.1951,233,,
2021-05-01,LARGE BUSINESS,Cust30584,OTHERS,PD6,129,339,,
2021-02-01,Medium Business,Cust26551,NA,PD4,69,69,,
2021-10-01,SMALL BUSINESS,Cust22322,EU,PD1,35,35,,
2021-03-01,LARGE BUSINESS,Cust30589,NA,PD1,416.5,555,,
2021-03-01,SMALL BUSINESS,Cust30590,NA,PD2,75,86,,
2021-06-01,LARGE BUSINESS,Cust30591,NA,PD1,138,155,,
2022-02-01,Medium Business,Cust30593,APJ,PD6,372.708,518,,
2021-07-01,Medium Business,Cust30595,OTHERS,PD2,100,112,,
2021-06-01,Medium Business,Cust30596,NA,PD1,90,108,,
2021-03-01,SMALL BUSINESS,Cust13003,OTHERS,PD1,38,88,,
2021-11-01,SMALL BUSINESS,Cust30597,EU,PD1,30,34,,
2021-11-01,SMALL BUSINESS,Cust30598,UK,PD1,102,102,,
2022-01-01,SMALL BUSINESS,Cust30599,INDIA,PD4,12.8871,17,,
2021-04-01,SMALL BUSINESS,Cust30600,EU,PD1,93.48,93,,
2022-02-01,SMALL BUSINESS,Cust30601,INDIA,PD1,60,71,,
2021-06-01,SMALL BUSINESS,Cust30602,INDIA,PD1,19.13832,27,,
2021-02-01,SMALL BUSINESS,Cust30603,UK,PD1,29.92,68,,
2021-09-01,Medium Business,Cust30605,EU,PD1,78.597,97,,
2021-04-01,SMALL BUSINESS,Cust30606,NA,PD1,38,54,,
2022-03-01,SMALL BUSINESS,Cust30607,EU,PD5,54,65,,
2021-03-01,LARGE BUSINESS,Cust13022,EU,PD5,178,212,,
2021-05-01,Medium Business,Cust30608,NA,PD1,135,188,,
2021-01-01,LARGE BUSINESS,Cust22913,EU,PD5,458.79,573,,
2022-02-01,SMALL BUSINESS,Cust30611,UK,PD4,20.1,27,,
2021-08-01,SMALL BUSINESS,Cust30612,NA,PD1,30,41,,
2022-02-01,SMALL BUSINESS,Cust30613,NA,PD4,18,22,,
2021-04-01,SMALL BUSINESS,Cust30614,EU,PD1,38,79,,
2021-12-01,Medium Business,Cust30615,NA,PD6,324.9,325,,
2021-08-01,SMALL BUSINESS,Cust30617,UK,PD1,48.96,55,,
2021-01-01,SMALL BUSINESS,Cust23060,NA,PD1,13.5,16,,
2021-10-01,SMALL BUSINESS,Cust30622,NA,PD1,45,63,,
2021-04-01,SMALL BUSINESS,Cust30623,NA,PD1,15,19,,
2022-02-01,SMALL BUSINESS,Cust30628,NA,PD1,54,71,,
2021-05-01,LARGE BUSINESS,Cust30629,NA,PD1,729,858,,
2021-08-01,SMALL BUSINESS,Cust30630,NA,PD1,30,36,,
2022-02-01,SMALL BUSINESS,Cust30631,MEA,PD1,18,18,,
2021-01-01,SMALL BUSINESS,Cust30633,OTHERS,PD1,57,57,,
2021-06-01,SMALL BUSINESS,Cust7880,OTHERS,PD1,240,308,,
2021-10-01,SMALL BUSINESS,Cust30634,EU,PD1,73.8,103,,
2021-05-01,SMALL BUSINESS,Cust23053,NA,PD4,35,41,,
2021-08-01,Medium Business,Cust30635,NA,PD1,155.76,175,,
2021-02-01,SMALL BUSINESS,Cust30636,UK,PD7,38,48,,
2022-01-01,LARGE BUSINESS,Cust30637,NA,PD1,138,138,,
2021-06-01,SMALL BUSINESS,Cust3050,NA,PD6,118,118,,
2021-07-01,LARGE BUSINESS,Cust30642,NA,PD1,414.75,560,,
2021-11-01,Medium Business,Cust30643,EU,PD1,60.27,75,,
2021-11-01,SMALL BUSINESS,Cust30644,UK,PD1,61.2,69,,
2021-09-01,SMALL BUSINESS,Cust30646,APJ,PD7,18,22,,
2022-02-01,Medium Business,Cust30648,EU,PD1,111.72,149,,
2021-05-01,LARGE BUSINESS,Cust30649,EU,PD1,487.08,594,,
2022-01-01,SMALL BUSINESS,Cust26632,NA,PD1,18,24,,
2021-07-01,SMALL BUSINESS,Cust30651,INDIA,PD5,72.725616,100,,
2021-02-01,Medium Business,Cust30652,EU,PD6,184.5,217,,
2021-06-01,LARGE BUSINESS,Cust30654,EU,PD1,120.54,161,,
2022-02-01,Medium Business,Cust24356,EU,PD4,156,203,,
2021-06-01,SMALL BUSINESS,Cust30655,NA,PD1,38.099952,44,,
2021-07-01,SMALL BUSINESS,Cust30656,APJ,PD1,367.08,367,,
2021-03-01,Medium Business,Cust30657,MEA,PD5,80.01,80,,
2021-07-01,SMALL BUSINESS,Cust30659,NA,PD7,19,19,,
2021-06-01,LARGE BUSINESS,Cust14989,NA,PD1,124.95,179,,
2022-01-01,LARGE BUSINESS,Cust7927,NA,PD1,95,95,,
2021-01-01,SMALL BUSINESS,Cust13793,EU,PD1,19,26,,
2021-05-01,LARGE BUSINESS,Cust30664,NA,PD6,183.99,383,,
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD6,54.6,71,,
2022-01-01,SMALL BUSINESS,Cust7850,INDIA,PD2,75,183,,
2022-03-01,LARGE BUSINESS,Cust30666,UK,PD1,1997.136,2350,,
2021-12-01,LARGE BUSINESS,Cust13040,NA,PD1,95,106,,
2021-07-01,LARGE BUSINESS,Cust17895,EU,PD5,95.94,123,,
2021-09-01,SMALL BUSINESS,Cust7945,EU,PD1,54,54,,
2021-08-01,Medium Business,Cust7948,INDIA,PD3,106.66296,260,,
2021-06-01,LARGE BUSINESS,Cust30670,OTHERS,PD1,69,80,,
2021-01-01,LARGE BUSINESS,Cust30671,EU,PD1,138,166,,
2021-01-01,Medium Business,Cust17910,NA,PD5,91,91,,
2021-05-01,SMALL BUSINESS,Cust30672,APJ,PD2,50,69,,
2021-02-01,SMALL BUSINESS,Cust30673,EU,PD6,1063.95,1064,,
2021-11-01,LARGE BUSINESS,Cust17913,EU,PD1,95,125,,
2021-12-01,SMALL BUSINESS,Cust7882,NA,PD1,54,54,,
2022-02-01,SMALL BUSINESS,Cust30674,NA,PD1,15,17,,
2021-05-01,LARGE BUSINESS,Cust30676,APJ,PD5,99,125,,
2021-08-01,SMALL BUSINESS,Cust30677,EU,PD4,44.28,61,,
2021-12-01,SMALL BUSINESS,Cust30678,OTHERS,PD2,77,108,,
2021-01-01,SMALL BUSINESS,Cust27290,OTHERS,PD2,75,86,,
2021-07-01,SMALL BUSINESS,Cust30679,EU,PD2,50,50,,
2021-10-01,SMALL BUSINESS,Cust30680,EU,PD1,36,36,,
2022-02-01,LARGE BUSINESS,Cust30681,APJ,PD1,952,2322,,
2022-03-01,Medium Business,Cust30682,NA,PD5,94,125,,
2022-01-01,SMALL BUSINESS,Cust30683,NA,PD1,385,507,,
2021-08-01,SMALL BUSINESS,Cust30684,EU,PD6,565,628,,
2021-12-01,SMALL BUSINESS,Cust19586,NA,PD1,54,67,,
2021-02-01,SMALL BUSINESS,Cust23043,MEA,PD1,19.80277,24,,
2021-07-01,Medium Business,Cust12170,APJ,PD7,117,117,,
2021-07-01,LARGE BUSINESS,Cust30687,NA,PD1,125,164,,
2021-12-01,Medium Business,Cust30690,NA,PD1,59,59,,
2021-06-01,Medium Business,Cust7984,NA,PD4,170,243,,
2021-09-01,SMALL BUSINESS,Cust30691,INDIA,PD5,32.80464,42,,
2021-03-01,Medium Business,Cust30692,EU,PD1,133,133,,
2021-04-01,LARGE BUSINESS,Cust30693,EU,PD5,413,480,,
2022-03-01,LARGE BUSINESS,Cust2315,UK,PD6,1744,2389,,
2021-01-01,SMALL BUSINESS,Cust2725,MEA,PD1,45,45,,
2021-11-01,LARGE BUSINESS,Cust30695,MEA,PD4,83,83,,
2021-11-01,LARGE BUSINESS,Cust30697,MEA,PD1,196,242,,
2021-12-01,SMALL BUSINESS,Cust30699,NA,PD1,36,100,,
2022-02-01,Medium Business,Cust30700,MEA,PD1,249.99,321,,
2022-01-01,SMALL BUSINESS,Cust30701,NA,PD2,75.8,98,,
2022-01-01,Medium Business,Cust30702,NA,PD4,47,57,,
2021-04-01,LARGE BUSINESS,Cust22742,EU,PD6,373.92,467,,
2021-03-01,LARGE BUSINESS,Cust30703,EU,PD5,386.22,858,,
2022-03-01,Medium Business,Cust30705,UK,PD5,46.9,65,,
2021-08-01,SMALL BUSINESS,Cust30708,MEA,PD1,221.4,308,,
2021-09-01,SMALL BUSINESS,Cust30710,NA,PD1,54,73,,
2021-02-01,SMALL BUSINESS,Cust30711,EU,PD3,19,22,,
2022-01-01,Medium Business,Cust30712,NA,PD1,887.36,2064,,
2021-06-01,SMALL BUSINESS,Cust30713,NA,PD6,313.6,314,,
2021-11-01,SMALL BUSINESS,Cust30714,UK,PD6,54.4,68,,
2022-02-01,SMALL BUSINESS,Cust30715,NA,PD1,150,167,,
2021-02-01,SMALL BUSINESS,Cust30716,NA,PD6,174,226,,
2021-09-01,SMALL BUSINESS,Cust3098,EU,PD1,36,36,,
2021-03-01,SMALL BUSINESS,Cust3099,EU,PD1,19,27,,
2021-06-01,SMALL BUSINESS,Cust23049,EU,PD1,19,24,,
2021-01-01,SMALL BUSINESS,Cust30720,EU,PD1,18.45,21,,
2021-06-01,Medium Business,Cust30721,INDIA,PD6,300.76,362,,
2021-09-01,SMALL BUSINESS,Cust30723,UK,PD1,61.2,71,,
2021-05-01,SMALL BUSINESS,Cust30724,EU,PD1,55.35,55,,
2021-01-01,SMALL BUSINESS,Cust7916,EU,PD1,13,15,,
2021-10-01,LARGE BUSINESS,Cust30725,NA,PD1,1045,1472,,
2021-09-01,Medium Business,Cust8017,EU,PD1,59,128,,
2021-06-01,LARGE BUSINESS,Cust30726,NA,PD1,416.5,479,,
2021-09-01,SMALL BUSINESS,Cust30727,EU,PD6,1279.2,1752,,
2022-02-01,Medium Business,Cust30728,NA,PD1,994,1258,,
2021-09-01,Medium Business,Cust30729,MEA,PD1,240.1,320,,
2021-04-01,LARGE BUSINESS,Cust30731,EU,PD1,207,249,,
2021-06-01,LARGE BUSINESS,Cust8810,NA,PD5,45,45,,
2021-05-01,LARGE BUSINESS,Cust23053,NA,PD1,69,84,,
2021-01-01,LARGE BUSINESS,Cust30732,MEA,PD1,125,347,,
2022-01-01,SMALL BUSINESS,Cust30733,EU,PD5,20.52,27,,
2022-02-01,SMALL BUSINESS,Cust30735,EU,PD1,108,135,,
2021-02-01,SMALL BUSINESS,Cust30737,EU,PD1,250.92,353,,
2021-03-01,Medium Business,Cust18970,NA,PD1,283.5,394,,
2021-09-01,SMALL BUSINESS,Cust30741,UK,PD1,45,55,,
2022-01-01,SMALL BUSINESS,Cust30742,NA,PD6,200,200,,
2022-02-01,SMALL BUSINESS,Cust30743,NA,PD1,180,257,,
2021-03-01,LARGE BUSINESS,Cust30744,EU,PD1,69,69,,
2021-09-01,Medium Business,Cust30745,NA,PD1,1180,1532,,
2021-08-01,SMALL BUSINESS,Cust30746,NA,PD8,11,13,,
2021-01-01,SMALL BUSINESS,Cust30747,EU,PD6,18.45,24,,
2021-06-01,SMALL BUSINESS,Cust13203,NA,PD4,35,35,,
2021-01-01,LARGE BUSINESS,Cust5897,EU,PD1,69,150,,
2021-11-01,Medium Business,Cust30751,NA,PD1,118,142,,
2021-10-01,SMALL BUSINESS,Cust30750,APJ,PD1,187.2,256,,
2021-12-01,Medium Business,Cust11122,INDIA,PD1,56.8,64,,
2021-07-01,SMALL BUSINESS,Cust30753,NA,PD1,30,38,,
2022-02-01,Medium Business,Cust5904,OTHERS,PD2,281.4,385,,
2021-09-01,SMALL BUSINESS,Cust30754,NA,PD1,18,20,,
2021-05-01,SMALL BUSINESS,Cust30755,UK,PD4,39.44,56,,
2021-02-01,SMALL BUSINESS,Cust5911,APJ,PD1,57,71,,
2021-04-01,LARGE BUSINESS,Cust26750,EU,PD1,432.5,481,,
2021-09-01,Medium Business,Cust30757,EU,PD1,542.43,603,,
2021-07-01,LARGE BUSINESS,Cust13236,EU,PD1,650,890,,
2022-01-01,SMALL BUSINESS,Cust30758,EU,PD5,41.04,52,,
2021-11-01,Medium Business,Cust30760,EU,PD1,482.16,595,,
2021-12-01,SMALL BUSINESS,Cust26759,EU,PD6,30.75,36,,
2021-03-01,SMALL BUSINESS,Cust30761,NA,PD1,15,20,,
2021-07-01,SMALL BUSINESS,Cust18077,APJ,PD1,95,107,,
2021-04-01,SMALL BUSINESS,Cust18079,NA,PD4,35,45,,
2021-08-01,LARGE BUSINESS,Cust30762,MEA,PD4,676.2,805,,
2021-07-01,Medium Business,Cust18083,MEA,PD1,45,59,,
2022-02-01,Medium Business,Cust30763,OTHERS,PD2,100.99539,126,,
2022-02-01,SMALL BUSINESS,Cust30764,NA,PD1,18,44,,
2021-09-01,SMALL BUSINESS,Cust30766,NA,PD4,36,50,,
2022-02-01,SMALL BUSINESS,Cust30767,EU,PD1,30,34,,
2021-07-01,LARGE BUSINESS,Cust30769,NA,PD5,609,609,,
2021-02-01,SMALL BUSINESS,Cust5954,NA,PD1,228,308,,
2021-07-01,Medium Business,Cust30772,OTHERS,PD2,200,225,,
2021-11-01,Medium Business,Cust30776,EU,PD1,153.75,171,,
2021-01-01,SMALL BUSINESS,Cust13279,NA,PD4,29,62,,
2022-01-01,LARGE BUSINESS,Cust30779,NA,PD6,196.2,262,,
2021-02-01,SMALL BUSINESS,Cust26781,NA,PD1,38,38,,
2022-03-01,SMALL BUSINESS,Cust30780,INDIA,PD4,14.228184,17,,
2021-04-01,LARGE BUSINESS,Cust30782,UK,PD1,147,179,,
2021-07-01,LARGE BUSINESS,Cust30784,EU,PD1,557.4975,672,,
2022-01-01,Medium Business,Cust11918,UK,PD6,1859.987,5167,,
2021-02-01,SMALL BUSINESS,Cust8094,EU,PD1,46.74,60,,
2021-11-01,Medium Business,Cust30785,EU,PD1,174.66,175,,
2021-05-01,LARGE BUSINESS,Cust30786,INDIA,PD5,45,59,,
2021-08-01,Medium Business,Cust30787,UK,PD4,117,143,,
2022-03-01,SMALL BUSINESS,Cust30788,NA,PD1,45,107,,
2021-12-01,Medium Business,Cust18176,APJ,PD3,38.22,38,,
2021-09-01,SMALL BUSINESS,Cust30791,NA,PD5,18,38,,
2021-08-01,Medium Business,Cust30792,MEA,PD4,66,66,,
2022-01-01,Medium Business,Cust30793,MEA,PD1,120.7,121,,
2021-10-01,SMALL BUSINESS,Cust30794,APJ,PD6,66.3,86,,
2021-04-01,SMALL BUSINESS,Cust30798,APJ,PD1,15,17,,
2022-02-01,SMALL BUSINESS,Cust30799,OTHERS,PD4,15.4671,20,,
2022-02-01,SMALL BUSINESS,Cust30801,NA,PD1,45,55,,
2021-05-01,LARGE BUSINESS,Cust13385,APJ,PD5,668,1553,,
2022-01-01,LARGE BUSINESS,Cust13317,APJ,PD1,125,162,,
2022-01-01,SMALL BUSINESS,Cust30804,NA,PD1,30,30,,
2021-11-01,SMALL BUSINESS,Cust623,NA,PD1,18,18,,
2021-08-01,Medium Business,Cust30807,NA,PD6,327,442,,
2021-12-01,SMALL BUSINESS,Cust629,INDIA,PD4,68.069628,77,,
2021-09-01,SMALL BUSINESS,Cust13327,NA,PD2,131,160,,
2022-03-01,LARGE BUSINESS,Cust16357,NA,PD4,83,83,,
2021-06-01,Medium Business,Cust30809,NA,PD6,303.45,421,,
